referencia,nombre,familia,unidad,precio_tarifa,iva,atributos
23003772,Midea 23003772,accesorio,ud,35.00,21,{}
14047302,Midea 14047302,accesorio,ud,110.00,21,{}
13989018,Midea 13989018,accesorio,ud,90.00,21,{}
14047206,Midea 14047206,accesorio,ud,180.00,21,{}
14047288,Midea 14047288,accesorio,ud,3210.00,21,{}
14047275,Midea 14047275,accesorio,ud,2250.00,21,{}
14085020,Midea 14085020,accesorio,ud,600.00,21,{}
14047220,Midea 14047220,accesorio,ud,1750.00,21,{}
13432034,Midea 13432034,accesorio,ud,2830.00,21,{}
13432036,Midea 13432036,accesorio,ud,5630.00,21,{}
13432037,Midea 13432037,accesorio,ud,9130.00,21,{}
13432020,Midea 13432020,accesorio,ud,730.00,21,{}
13400006,Midea 13400006,accesorio,ud,730.00,21,{}
13432014,Midea 13432014,accesorio,ud,730.00,21,{}
14020038,Midea 14020038,accesorio,ud,600.00,21,{}
14020036,Midea 14020036,accesorio,ud,600.00,21,{}
14045959,Midea 14045959,accesorio,ud,250.00,21,{}
14068102,Midea 14068102,accesorio,ud,400.00,21,{}
14068103,Midea 14068103,accesorio,ud,1370.00,21,{}
