referencia,nombre,familia,unidad,precio_tarifa,iva,atributos
0020306907,aroTHERM plus 12 compacto sensoCOMFORT cableado 400V,bomba_calor,ud,16825.00,21,"{""potencia_kw"": 12.0, ""trifasica"": true, ""control"": ""cableado""}"
0020306908,aroTHERM plus 15 compacto sensoCOMFORT inalámbrico,bomba_calor,ud,16795.00,21,"{""potencia_kw"": 15.0, ""control"": ""inalambrico""}"
0020306909,aroTHERM plus 15 compacto sensoCOMFORT cableado,bomba_calor,ud,16705.00,21,"{""potencia_kw"": 15.0, ""control"": ""cableado""}"
0020306910,aroTHERM plus 15 compacto sensoCOMFORT inalámbrico 400V,bomba_calor,ud,17550.00,21,"{""potencia_kw"": 15.0, ""trifasica"": true, ""control"": ""inalambrico""}"
0020306911,aroTHERM plus 15 compacto sensoCOMFORT cableado 400V,bomba_calor,ud,17460.00,21,"{""potencia_kw"": 15.0, ""trifasica"": true, ""control"": ""cableado""}"
8000036533,aroTHERM Split plus 4 uniTOWER sensoCOMFORT inalámbrico un circ.,bomba_calor,ud,10640.00,21,"{""potencia_kw"": 4.0, ""control"": ""inalambrico""}"
8000036536,aroTHERM Split plus 4 uniTOWER sensoCOMFORT cableado un circ.,bomba_calor,ud,10550.00,21,"{""potencia_kw"": 4.0, ""control"": ""cableado""}"
8000036520,aroTHERM Split plus 6 uniTOWER sensoCOMFORT inalámbrico un circ.,bomba_calor,ud,11050.00,21,"{""potencia_kw"": 6.0, ""control"": ""inalambrico""}"
8000036544,aroTHERM Split plus 6 uniTOWER sensoCOMFORT cableado un circ.,bomba_calor,ud,10960.00,21,"{""potencia_kw"": 6.0, ""control"": ""cableado""}"
8000036542,aroTHERM Split plus 8 uniTOWER sensoCOMFORT inalámbrico un circ.,bomba_calor,ud,11600.00,21,"{""potencia_kw"": 8.0, ""control"": ""inalambrico""}"
8000036635,aroTHERM Split plus 8 uniTOWER sensoCOMFORT cableado un circ.,bomba_calor,ud,11510.00,21,"{""potencia_kw"": 8.0, ""control"": ""cableado""}"
